id,status_group
454.0,0
510.0,0
14146.0,1
47410.0,1
1288.0,1
13095.0,0
558.0,0
35626.0,0
8696.0,1
48650.0,0
61055.0,1
27298.0,0
52899.0,1
61616.0,1
54295.0,0
18191.0,1
22057.0,0
39797.0,1
20856.0,0
59340.0,0
52944.0,0
8638.0,0
6390.0,0
39662.0,1
69518.0,1
15222.0,1
37453.0,0
9535.0,0
51552.0,0
3903.0,0
62063.0,1
4773.0,0
31083.0,1
74051.0,1
55030.0,1
46989.0,0
35395.0,0
56429.0,0
70752.0,0
28094.0,0
9852.0,1
9196.0,1
49980.0,0
22255.0,1
67492.0,0
47079.0,0
59437.0,1
52900.0,1
25233.0,0
38113.0,1
25946.0,0
58189.0,1
12676.0,1
30614.0,0
20048.0,1
37803.0,0
29117.0,0
52236.0,0
63183.0,0
64748.0,0
17663.0,0
24398.0,1
62513.0,0
44798.0,0
34074.0,1
24665.0,0
54568.0,0
39980.0,1
3740.0,0
30191.0,1
46219.0,1
40805.0,0
39852.0,0
40442.0,1
10580.0,1
25058.0,1
10212.0,0
732.0,1
17968.0,0
2983.0,0
46188.0,1
51193.0,1
31313.0,0
3760.0,0
27329.0,0
66539.0,1
28240.0,0
55979.0,1
56485.0,0
13543.0,0
74215.0,0
49016.0,0
49120.0,0
17804.0,1
73580.0,0
73037.0,0
40123.0,1
59946.0,0
8353.0,0
38630.0,0
9220.0,0
19441.0,0
38407.0,1
40570.0,0
6685.0,0
4234.0,0
68383.0,1
20006.0,1
60051.0,1
65651.0,0
2567.0,0
22298.0,1
42852.0,1
61240.0,1
72689.0,1
5663.0,1
54718.0,0
7593.0,0
72363.0,0
31023.0,0
11762.0,0
68977.0,1
15803.0,0
25466.0,1
71111.0,1
45.0,1
69511.0,0
61737.0,0
61054.0,1
38056.0,1
53523.0,0
11609.0,0
41059.0,1
22880.0,0
71694.0,0
65989.0,0
71096.0,0
25305.0,0
41789.0,1
57862.0,0
71636.0,1
26683.0,0
65455.0,1
58328.0,1
2504.0,0
33900.0,0
4687.0,0
48634.0,0
14326.0,0
14679.0,0
16884.0,0
29793.0,0
23073.0,0
34777.0,1
20273.0,1
58389.0,1
19858.0,0
19548.0,0
30326.0,0
5921.0,0
68270.0,0
22352.0,1
30279.0,1
27660.0,0
30824.0,0
43819.0,0
40339.0,0
37008.0,1
23333.0,1
19574.0,0
42262.0,0
66704.0,0
65166.0,1
17656.0,0
74085.0,0
65120.0,0
38387.0,1
1460.0,1
49602.0,1
37834.0,0
46880.0,0
49669.0,0
39588.0,1
47175.0,0
54442.0,0
54105.0,1
59492.0,1
25994.0,0
63585.0,1
34376.0,0
50874.0,1
21712.0,1
10826.0,1
56918.0,0
64444.0,0
28418.0,1
25056.0,1
10708.0,1
31173.0,1
66886.0,0
67271.0,1
5962.0,1
13365.0,1
8752.0,0
66030.0,0
21150.0,0
3752.0,0
47747.0,1
68426.0,0
64900.0,0
51270.0,0
7136.0,1
4200.0,0
52826.0,0
14348.0,0
61365.0,1
30896.0,1
54562.0,1
37905.0,0
25182.0,0
64356.0,0
23068.0,0
53100.0,0
36891.0,0
31319.0,1
47023.0,0
71821.0,0
24152.0,1
25852.0,1
58280.0,1
62892.0,1
19146.0,1
23583.0,0
64618.0,1
24653.0,1
8502.0,1
19875.0,0
54106.0,0
24601.0,1
72226.0,0
2251.0,0
17972.0,0
48447.0,0
26831.0,0
67496.0,0
46955.0,1
9621.0,0
61806.0,0
9189.0,1
45614.0,0
67097.0,0
50567.0,1
39721.0,1
17779.0,1
595.0,1
35389.0,0
33588.0,0
16906.0,0
4654.0,0
60662.0,0
10511.0,0
59755.0,0
37158.0,0
15224.0,0
15991.0,0
23942.0,0
51404.0,0
39418.0,1
14286.0,0
51584.0,1
68729.0,0
62061.0,1
50529.0,0
28759.0,0
9057.0,0
25815.0,0
10817.0,0
1216.0,0
57846.0,0
10230.0,1
59927.0,1
5952.0,1
37074.0,0
19213.0,0
51146.0,0
64478.0,1
26084.0,1
22036.0,1
15602.0,0
56203.0,0
22389.0,1
46873.0,0
73079.0,0
62259.0,0
19197.0,0
55845.0,0
59888.0,1
24571.0,0
62356.0,0
39732.0,0
24497.0,0
8375.0,0
12166.0,0
55846.0,1
28399.0,0
33139.0,1
14827.0,0
22358.0,0
69682.0,0
23700.0,1
22279.0,0
60783.0,1
42299.0,1
58732.0,0
21253.0,0
49145.0,0
65401.0,0
72930.0,1
40096.0,0
11831.0,0
8356.0,0
22507.0,0
25273.0,0
60491.0,1
18870.0,0
63558.0,1
6510.0,0
69027.0,0
4899.0,1
28698.0,1
22914.0,0
43364.0,1
29704.0,0
48197.0,1
20093.0,0
26629.0,0
3751.0,1
29088.0,1
8875.0,0
22083.0,0
28235.0,1
68058.0,0
